index,start_time,end_time,primary_text,secondary_text
1,00:00:33.666,00:00:37.458,NETFLIX PRÄSENTIERT,NETFLIX PRESENTS
2,00:00:48.291,00:00:52.541,Man kennt die tragische Liebesgeschichte...,One knows the tragic love story...
